Name	SMC_Section	Height_m	Height_ft	Map_1to50k	Grid_Ref
Mullach na Dheiragain	11	982	3222	25 33	NH080259
Mullach na Dheiragain - Mullach Sithidh [Creag a' Choire Ard]	11	974	3196	25 33	NH082264
Creag a' Choire Aird East Top	11	932	3058	25 33	NH087266
Mullach na Dheiragain - Carn na Con Dhu	11	967	3173	25 33	NH072241
An Socach	11	921	3022	25 33	NH088229
Mam Sodhail	11	1179.4	3869	25	NH120253
Mam Sodhail - Ciste Dhubh	11	1108	3635	25	NH114246
Mam Sodhail - Stob Coire Coulavie [Carn Coulavie]	11	1068	3504	25	NH110240
Mam Sodhail - An Tudair [1891: Saoiter Mor]	11	1074	3524	25	NH127239
Mam Sodhail - Creag Coire nan Each [Creag a' Chaoruinn]	11	1055	3461	25	NH113232
Mam Sodhail - Sgurr na Lapaich	11	1036	3399	25	NH154243
Mam Sodhail - Mullach Cadha Rainich	11	996	3268	25	NH139246
Carn Eige [Carn Eighe]	11	1182.8	3881	25	NH123261
Carn Eige - Stob a' Choire Dhomhain [1891: Creag na h-Eige]	11	1146.5	3761	25	NH131264
Carn Eige - Stob Coire Dhomhnuill	11	1139	3737	25	NH137262
Carn Eige - Sron Garbh	11	1131	3711	25	NH144263
Carn Eige - Stob Coire Lochan	11	916.9	3008	25	NH119271
Beinn Fhionnlaidh	11	1004.7	3296	25	NH115282
Tom a' Choinich	11	1112	3648	25	NH164273
Tom a' Choinich - An Leth-chreag	11	1051	3448	25	NH154269
Tom a' Choinich - Tom a' Choinich Beag	11	1032	3386	25	NH157272
Toll Creagach	11	1054	3458	25	NH194282
Toll Creagach West Top	11	951	3120	25	NH177275
Mullach Fraoch-choire	11	1102	3615	33	NH094171
Mullach Fraoch-choire NE Top [E Top]	11	1047	3435	33	NH099173
A' Chraileag [A' Chralaig]	11	1120	3675	33	NH094147
A' Chralaig - Stob Coire na Craileig [Stob Coire na Cralaig] [Mullach Fraoch-choire S Top]	11	1008	3307	33	NH091163
A' Chralaig - A' Chioch	11	947	3107	34	NH108152
Sail Chaorainn [Sail Chaoruinn]	11	1002	3287	34	NH133154
Sail Chaorainn - Carn na Coire Mheadhoin (Centre Top)	11	1001	3284	34	NH134158
Sail Chaorainn - Tigh Mor na Seilge (NNE Top)	11	929	3048	34	NH140166
Sail Chaorainn - Carn a' Mhadaidh-ruaidh	11	922	3025	34	NH140147
Sgurr nan Conbhairean	11	1109	3638	34	NH129138
Sgurr nan Conbhairean - Drochaid an Tuill Easaich	11	1001	3284	34	NH120134
Sgurr nan Conbhairean - Creag a' Chaorainn	11	998	3274	34	NH137131
Carn Ghluasaid	11	957	3140	34	NH145125
Sgurr na Ruaidhe	12	993	3258	25	NH289426
Carn nan Gobhar	12	992	3255	25	NH273438
Sgurr a' Choire Ghlais	12	1083	3553	25	NH258430
Sgurr Fhuar-thuill	12	1049	3442	25	NH235437
Sgurr Fhuar-thuill - Creag Ghorm a' Bhealaich	12	1030	3379	25	NH244435
Sgurr Fhuar-thuill - Sgurr na Fearstaig	12	1015	3330	25	NH228437
Moruisg	12	928	3045	25	NH101499
Sgurr nan Ceannaichean	12	913.43	2997	25	NH087480
Maoile Lunndaidh	12	1004.9	3297	25	NH135458
Maoile Lunndaidh - Creag Toll a' Choin	12	1005.2	3298	25	NH130453
Maoile Lunndaidh - Carn nam Fiaclan	12	993	3258	25	NH123455
Sgurr a' Chaorachain	12	1053	3455	25	NH087447
Sgurr a' Chaorachain - Bidean an Eoin Deirg	12	1046.5	3433	25	NH103443
Sgurr Choinnich	12	999.2	3278	25	NH076446
Bidein a' Choire Sheasgaich	12	945	3100	25	NH049412
Lurg Mhor	12	987	3238	25	NH064404
Lurg Mhor - Meall Mor	12	974	3196	25	NH072405
Carn nan Gobhar	12	993	3258	25	NH181343
Carn nan Gobhar - Creag Dubh	12	947	3107	25	NH199350
Sgurr na Lapaich	12	1151	3776	25	NH161351
Sgurr na Lapaich - Rubha na Spreidhe	12	1057	3468	25	NH163356
Sgurr na Lapaich -  Creag a' Chaorainn [Creag a' Chaoruinn]	12	969	3179	25	NH168338
Sgurr na Lapaich - Braigh a' Choire Bhig (North Top)	12	1008	3307	25	NH156334
Sgurr na Lapaich - Sgurr nan Clachan Geala	12	1093	3586	25	NH161342
An Riabhachan	12	1129	3704	25	NH133344
An Riabhachan NE Top	12	1125	3691	25	NH138347
An Riabhachan SW Top	12	1086	3563	25	NH122336
An Riabhachan West Top	12	1038	3406	25	NH117337
An Socach	12	1069	3507	25	NH100332
Beinn Alligin - Sgurr Mhor	13	986	3235	19 24	NG865612
Beinn Alligin - Tom na Gruagaich	13	922	3025	19 24	NG859601
Liathach - Spidean a' Choire Leith	13	1055	3461	25	NG929579
Liathach - Mullach an Rathain	13	1023	3356	25	NG911576
Spidean a' Choire Leith (Liathach) - Stob a' Coire Liath Mhor [1933: Bidean Toll a' Mhuic]	13	983	3225	25	NG932581
Mullach an Rathain (Liathach) - Northern Pinnacles [Meall Dearg]	13	955	3133	25	NG913579
Mullach an Rathain (Liathach) - Am Fasarinen	13	930	3051	25	NG923574
Spidean a' Choire Leith (Liathach) - Stuc a' Choire Dhuibh Bhig	13	915	3002	25	NG942582
Beinn Eighe - Ruadh-stac Mor	13	1010	3314	19	NG951611
Beinn Eighe - Spidean Coire nan Clach	13	993	3258	25	NG966597
Spidean Coire nan Clach (Beinn Eighe) - Sail Mhor	13	980	3215	19	NG938605
Spidean Coire nan Clach (Beinn Eighe) - Coinneach Mhor (old GR)	13	954	3130	19	NG950600
Spidean Coire nan Clach (Beinn Eighe) - Coinneach Mhor	13	976	3202	19	NG944600
Spidean Coire nan Clach (Beinn Eighe) - Sgurr Ban	13	970	3182	19	NG974600
Spidean Coire nan Clach (Beinn Eighe) - Sgurr nan Fhir Duibhe	13	963	3159	19	NG981600
Spidean Coire nan Clach (Beinn Eighe) - Creag Dhubh (North Top)	13	907	2976	19	NG985607
Sgorr Ruadh	13	960.7	3152	25	NG959505
Maol Chean-dearg	13	933	3061	25	NG924499
Beinn Liath Mhor	13	926	3038	25	NG964519
Slioch	14	981	3219	19	NH004690
Slioch - Trig Point	14	980	3215	19	NH004688
Slioch - Sgurr an Tuill Bhain	14	934	3064	19	NH018688
Ruadh Stac Mor	14	918.7	3014	19	NH018756
A' Mhaighdean	14	967	3173	19	NH007749
Beinn Tarsuinn	14	937	3074	19	NH039727
Mullach Coire Mhic Fhearchair	14	1015.2	3331	19	NH052735
Mullach Coire Mhic Fhearchair East Top	14	977.8	3208	19	NH056733
Mullach Coire Mhic Fhearchair - Sgurr Dubh	14	915.3	3003	19	NH060729
Sgurr Ban	14	989	3245	19	NH055745
Beinn a' Chlaidheimh	14	913.96	2999	19	NH061775
An Teallach - Bidein a' Ghlas Thuill	14	1062.5	3486	19	NH068843
Bidean a' Ghlas Thuill (An Teallach) - Glas Mheall Mor	14	979	3212	19	NH076853
Bidean a' Ghlas Thuill (An Teallach) - Glas Mheall Liath	14	960.4	3151	19	NH077841
An Teallach - Sgurr Fiona	14	1058.6	3473	19	NH064836
Sgurr Fiona (An Teallach) - Sgurr Creag an Eich	14	1016.4	3335	19	NH055838
Sgurr Fiona (An Teallach) - Lord Berkeley's Seat	14	1032	3386	19	NH064835
Sgurr Fiona (An Teallach) - Corrag Bhuidhe	14	1049	3442	19	NH064834
Sgurr Fiona (An Teallach) - Corrag Bhuidhe Buttress	14	946	3104	19	NH066830
Sgurr Fiona (An Teallach) - Stob Cadha Gobhlach	14	960	3150	19	NH068825
Sgurr Fiona (An Teallach) - Sail Liath	14	954	3130	19	NH071824
A' Chailleach	14	997	3271	19	NH136714
A' Chailleach - Toman Coinich [Toman Coinnich]	14	935	3068	20	NH148713
Sgurr Breac	14	999	3278	20	NH158711
Meall a' Chrasgaidh	14	934	3064	20	NH184733
Sgurr nan Clach Geala	14	1093	3586	20	NH184714
Sgurr nan Each	14	923	3028	20	NH184697
Sgurr Mor	14	1108	3635	20	NH203718
Sgurr Mor - Meall nam Peithirean	14	974.2	3196	20	NH207708
Sgurr Mor - Carn na Criche	14	961	3153	20	NH196725
Beinn Liath Mhor Fannaich	14	954	3130	20	NH219724
Meall Gorm	14	949	3114	20	NH221695
Meall Gorm SE Top	14	922	3025	20	NH232691
An Coileachan	14	923.9	3031	20	NH241680
Fionn Bheinn	14	933	3061	20	NH147621
Am Faochagach	15	953	3127	20	NH303793
Cona' Mheall	15	978	3209	20	NH275816
Beinn Dearg	15	1084	3556	20	NH259811
Meall nan Ceapraichean	15	977	3205	20	NH257825
Ceann Garbh [Ceann Garbh (old GR)]	15	942	3091	20	NH266830
Meall nan Ceapraichean - Ceann Garbh	15	968	3176	20	NH259830
Eididh nan Clach Geala	15	927	3041	20	NH257842
Seana Bhraigh	15	926	3038	20	NH281878
Ben Wyvis - Glas Leathad Mor	15	1046	3432	20	NH462683
Ben Wyvis - An t-Socach	15	1006	3301	20	NH470681
Glas Leathad Mor (Ben Wyvis) - Tom a' Choinnich	15	954	3130	20	NH463700
Glas Leathad Mor (Ben Wyvis) - An Cabar	15	946	3104	20	NH450665
Ben Wyvis - [1891: Glas Leathad Beag]	15	910	2986	20	NH484704
Glas Leathad Mor (Ben Wyvis) - Glas Leathad Beag [1891: Top of Coire Lochain]	15	928	3045	20	NH492706
Ben Wyvis - Meall nan Bradan Leathan [Fiaclach] [1891: Feachdach]	15	920	3018	20	NH496710
Ben Hope	16	927	3041	9	NC477501
Ben Klibreck - Meall nan Con	16	962.1	3156	16	NC585299
Ben More Assynt	16	998	3274	15	NC318201
Ben More Assynt South Top	16	960	3150	15	NC324192
Conival	16	987	3238	15	NC303199
Sgurr nan Gillean	17	964	3163	32	NG471253
Sgurr nan Gillean - Knight's Peak	17	914.24	2999	32	NG471254
Am Basteir	17	934	3064	32	NG465253
Am Basteir - Bhasteir Tooth [Basteir Tooth]	17	917.16	3009	32	NG465252
Bruach na Frithe	17	958	3143	32	NG460252
Bruach na Frithe - Sgurr a' Fionn Choire	17	936	3071	32	NG464252
Sgurr a' Mhadaidh	17	918	3012	32	NG446235
Sgurr a' Ghreadaidh	17	973	3192	32	NG445231
Sgurr a' Ghreadaidh South Top	17	970	3182	32	NG445230
Sgurr na Banachdich	17	965	3166	32	NG440224
Sgurr na Banachdich Central Top	17	942	3091	32	NG441222
Sgurr na Banachdich - Sgurr Thormaid	17	926	3038	32	NG441226
Sgurr Dearg - Inaccessible Pinnacle	17	986	3235	32	NG444215
Sgurr Dearg - Cairn	17	978	3209	32	NG443215
Sgurr Mhic Choinnich	17	948	3110	32	NG450210
Sgurr Alasdair	17	992	3255	32	NG450207
Sgurr Alasdair - Sgurr Thearlaich	17	978	3209	32	NG450207
Sgurr Alasdair - Sgurr Sgumain	17	947	3107	32	NG448206
Sgurr Dubh Mor	17	944	3097	32	NG457205
Sgurr Dubh Mor - Sgurr Dubh an Da Bheinn [Sgurr Dubh na Da Bheinn]	17	938	3077	32	NG455204
Sgurr nan Eag	17	926.2	3039	32	NG457195
Bla Bheinn [Blaven] [Blabheinn]	17	929	3048	32	NG529217
Bla Bheinn SW Top	17	926.5	3040	32	NG528215
Ben More	17	966	3169	47 48	NM525330
